Id;product_1;product_2;product_3;product_4;product_5;product_6;product_7;product_8;product_9;product_10;product_11;product_12;product_13;product_14;product_15;product_16;product_17;product_18;product_19;product_20
43;soup;meatballs;hot dogs;sparkling water;;;;;;;;;;;;;;;;
44;escalope;;;;;;;;;;;;;;;;;;;
45;soup;avocado;french fries;hot dogs;brownies;body spray;pancakes;green tea;;;;;;;;;;;;
46;mineral water;chicken;cereals;clothes accessories;;;;;;;;;;;;;;;;
47;mineral water;bug spray;;;;;;;;;;;;;;;;;;
48;avocado;muffins;;;;;;;;;;;;;;;;;;
49;burgers;black tea;green tea;;;;;;;;;;;;;;;;;
50;spaghetti;chocolate;brownies;white wine;green tea;;;;;;;;;;;;;;;
51;fresh tuna;mineral water;eggs;;;;;;;;;;;;;;;;;
52;spaghetti;muffins;;;;;;;;;;;;;;;;;;
53;spaghetti;chocolate;;;;;;;;;;;;;;;;;;
54;french fries;escalope;champagne;;;;;;;;;;;;;;;;;
55;tomato sauce;light mayo;;;;;;;;;;;;;;;;;;
56;turkey;fresh tuna;frozen vegetables;tomatoes;ground beef;spaghetti;mineral water;chocolate;soup;milk;olive oil;;;;;;;;;
57;eggs;cookies;;;;;;;;;;;;;;;;;;
58;soup;chicken;gums;soda;body spray;energy drink;green tea;;;;;;;;;;;;;
59;turkey;frozen vegetables;mineral water;cider;cooking oil;green tea;;;;;;;;;;;;;;
60;spaghetti;;;;;;;;;;;;;;;;;;;
61;clothes accessories;;;;;;;;;;;;;;;;;;;
62;energy drink;;;;;;;;;;;;;;;;;;;
63;soup;bug spray;shallot;protein bar;green tea;;;;;;;;;;;;;;;
64;turkey;eggs;;;;;;;;;;;;;;;;;;
65;french fries;;;;;;;;;;;;;;;;;;;
66;chocolate;milk;;;;;;;;;;;;;;;;;;
67;herb & pepper;whole wheat pasta;ground beef;mineral water;avocado;cider;whole wheat rice;;;;;;;;;;;;;
68;cookies;;;;;;;;;;;;;;;;;;;
69;shrimp;pasta;;;;;;;;;;;;;;;;;;
70;grated cheese;herb & pepper;tomatoes;tomato sauce;corn;;;;;;;;;;;;;;;
71;burgers;escalope;shallot;;;;;;;;;;;;;;;;;
72;cookies;;;;;;;;;;;;;;;;;;;
73;yogurt cake;;;;;;;;;;;;;;;;;;;
74;soup;eggs;;;;;;;;;;;;;;;;;;
75;cookies;;;;;;;;;;;;;;;;;;;
76;mineral water;chocolate;low fat yogurt;;;;;;;;;;;;;;;;;
77;eggs;strawberries;;;;;;;;;;;;;;;;;;
78;grated cheese;ground beef;spaghetti;mineral water;white wine;;;;;;;;;;;;;;;
79;mint;;;;;;;;;;;;;;;;;;;
80;eggs;cake;french fries;;;;;;;;;;;;;;;;;
81;burgers;spaghetti;milk;french fries;green tea;;;;;;;;;;;;;;;
82;mineral water;energy bar;butter;french fries;;;;;;;;;;;;;;;;
83;burgers;grated cheese;herb & pepper;mineral water;eggs;cooking oil;;;;;;;;;;;;;;
84;energy bar;;;;;;;;;;;;;;;;;;;
85;energy bar;energy drink;;;;;;;;;;;;;;;;;;
86;chocolate;frozen smoothie;;;;;;;;;;;;;;;;;;
87;low fat yogurt;;;;;;;;;;;;;;;;;;;
88;asparagus;salad;;;;;;;;;;;;;;;;;;
89;burgers;french fries;low fat yogurt;green tea;;;;;;;;;;;;;;;;
90;low fat yogurt;;;;;;;;;;;;;;;;;;;
91;burgers;herb & pepper;shrimp;pasta;spaghetti;mineral water;meatballs;olive oil;energy bar;french wine;eggs;salt;;;;;;;;
92;champagne;low fat yogurt;;;;;;;;;;;;;;;;;;
93;champagne;;;;;;;;;;;;;;;;;;;
94;burgers;almonds;eggs;french fries;cookies;green tea;;;;;;;;;;;;;;
95;ham;soup;escalope;body spray;;;;;;;;;;;;;;;;
96;turkey;ham;frozen vegetables;pepper;oil;extra dark chocolate;tea;magazines;;;;;;;;;;;;
97;muffins;eggs;cookies;;;;;;;;;;;;;;;;;
98;cookies;;;;;;;;;;;;;;;;;;;
99;frozen vegetables;whole wheat pasta;ground beef;spaghetti;chocolate;green tea;;;;;;;;;;;;;;
100;mineral water;barbecue sauce;chocolate;;;;;;;;;;;;;;;;;
101;burgers;herb & pepper;energy bar;almonds;eggs;corn;mayonnaise;zucchini;;;;;;;;;;;;
102;turkey;burgers;ground beef;chocolate;soup;almonds;eggs;hot dogs;cottage cheese;;;;;;;;;;;
103;ham;spaghetti;chocolate;eggs;;;;;;;;;;;;;;;;
104;ground beef;energy bar;pet food;carrots;protein bar;;;;;;;;;;;;;;;
105;ground beef;tomato sauce;spaghetti;mineral water;almonds;eggs;;;;;;;;;;;;;;
106;mineral water;olive oil;gums;cooking oil;;;;;;;;;;;;;;;;
107;shrimp;pasta;mineral water;soup;avocado;milk;olive oil;green grapes;eggs;bug spray;;;;;;;;;;
108;shrimp;pasta;soup;cake;cooking oil;chicken;light mayo;low fat yogurt;;;;;;;;;;;;
109;spaghetti;mineral water;chocolate;french fries;champagne;escalope;mushroom cream sauce;fresh bread;;;;;;;;;;;;
110;shrimp;pasta;mineral water;eggs;;;;;;;;;;;;;;;;
111;burgers;oil;tomato juice;fresh bread;;;;;;;;;;;;;;;;
112;french wine;eggs;chocolate;low fat yogurt;;;;;;;;;;;;;;;;
113;chicken;eggs;french fries;pancakes;;;;;;;;;;;;;;;;
114;turkey;herb & pepper;salmon;white wine;candy bars;;;;;;;;;;;;;;;
115;grated cheese;spaghetti;olive oil;eggs;french fries;green tea;;;;;;;;;;;;;;
116;mineral water;energy bar;;;;;;;;;;;;;;;;;;
117;eggs;french fries;;;;;;;;;;;;;;;;;;
118;burgers;tomatoes;mineral water;soup;milk;almonds;eggs;chocolate;tomato juice;;;;;;;;;;;
119;muffins;;;;;;;;;;;;;;;;;;;
120;pasta;;;;;;;;;;;;;;;;;;;
121;tomatoes;spaghetti;frozen smoothie;;;;;;;;;;;;;;;;;
122;ground beef;spaghetti;milk;;;;;;;;;;;;;;;;;
123;french fries;;;;;;;;;;;;;;;;;;;
124;chocolate;milk;;;;;;;;;;;;;;;;;;
125;burgers;shrimp;pasta;frozen vegetables;spaghetti;mineral water;milk;eggs;chocolate;french fries;pancakes;low fat yogurt;;;;;;;;
126;ground beef;mineral water;antioxydant juice;protein bar;;;;;;;;;;;;;;;;
127;grated cheese;whole wheat pasta;ground beef;spaghetti;cake;energy drink;;;;;;;;;;;;;;
128;grated cheese;;;;;;;;;;;;;;;;;;;
129;pancakes;;;;;;;;;;;;;;;;;;;
130;frozen smoothie;;;;;;;;;;;;;;;;;;;
131;carrots;green tea;;;;;;;;;;;;;;;;;;
132;chocolate;;;;;;;;;;;;;;;;;;;
133;turkey;burgers;chocolate;olive oil;eggs;cooking oil;corn;;;;;;;;;;;;;
134;frozen vegetables;tomatoes;pepper;spaghetti;mineral water;pancakes;chicken;chili;tea;french fries;tomato juice;fresh bread;;;;;;;;
135;cookies;;;;;;;;;;;;;;;;;;;
136;ground beef;;;;;;;;;;;;;;;;;;;
137;turkey;eggs;chocolate;frozen smoothie;tomato juice;;;;;;;;;;;;;;;
138;frozen vegetables;cooking oil;mashed potato;;;;;;;;;;;;;;;;;
139;frozen vegetables;ground beef;tomato sauce;mineral water;meatballs;olive oil;light cream;tomato juice;;;;;;;;;;;;
140;red wine;spaghetti;mineral water;soup;milk;eggs;cake;gums;cooking oil;chocolate;frozen smoothie;;;;;;;;;
141;chocolate;tomatoes;spaghetti;mineral water;avocado;milk;olive oil;eggs;rice;french fries;brownies;;;;;;;;;
142;chocolate;shrimp;pasta;frozen vegetables;ground beef;mineral water;nonfat milk;eggs;;;;;;;;;;;;
143;turkey;shrimp;pasta;pepper;spaghetti;mineral water;eggs;chicken;french fries;;;;;;;;;;;
144;cookies;;;;;;;;;;;;;;;;;;;
145;turkey;tomatoes;cake;;;;;;;;;;;;;;;;;
146;yams;mineral water;soup;milk;pancakes;whole wheat rice;barbecue sauce;carrots;chocolate;champagne;;;;;;;;;;
147;rice;;;;;;;;;;;;;;;;;;;
148;chocolate;milk;;;;;;;;;;;;;;;;;;
149;shrimp;pasta;frozen vegetables;water spray;;;;;;;;;;;;;;;;
150;burgers;mineral water;milk;eggs;whole wheat rice;mint;;;;;;;;;;;;;;
151;mineral water;vegetables mix;cake;frozen smoothie;brownies;;;;;;;;;;;;;;;
152;cookies;;;;;;;;;;;;;;;;;;;
153;shrimp;pasta;chicken;chocolate bread;;;;;;;;;;;;;;;;
154;shallot;;;;;;;;;;;;;;;;;;;
155;shrimp;pasta;spaghetti;eggs;hot dogs;green tea;;;;;;;;;;;;;;
156;burgers;;;;;;;;;;;;;;;;;;;
157;red wine;ground beef;spaghetti;mineral water;milk;olive oil;strong cheese;light cream;cooking oil;;;;;;;;;;;
158;burgers;grated cheese;spaghetti;avocado;milk;oil;french fries;;;;;;;;;;;;;
159;herb & pepper;whole wheat pasta;ground beef;mineral water;olive oil;;;;;;;;;;;;;;;
160;shrimp;pasta;yams;milk;chocolate;;;;;;;;;;;;;;;
161;butter;green tea;;;;;;;;;;;;;;;;;;
162;light mayo;;;;;;;;;;;;;;;;;;;
163;low fat yogurt;;;;;;;;;;;;;;;;;;;
164;herb & pepper;shrimp;pasta;spaghetti;milk;;;;;;;;;;;;;;;
165;burgers;eggs;;;;;;;;;;;;;;;;;;
166;turkey;herb & pepper;ground beef;soup;avocado;milk;black tea;eggs;barbecue sauce;carrots;cookies;tomato juice;fresh bread;;;;;;;
167;cookies;;;;;;;;;;;;;;;;;;;
168;escalope;;;;;;;;;;;;;;;;;;;
169;pepper;french fries;strawberries;pancakes;low fat yogurt;;;;;;;;;;;;;;;
170;frozen vegetables;yams;chicken;honey;light mayo;;;;;;;;;;;;;;;
171;chocolate;champagne;;;;;;;;;;;;;;;;;;
172;herb & pepper;honey;cake;rice;protein bar;;;;;;;;;;;;;;;
173;burgers;chocolate;frozen vegetables;ground beef;mineral water;milk;light mayo;asparagus;;;;;;;;;;;;
174;chocolate;mineral water;corn;cottage cheese;green tea;;;;;;;;;;;;;;;
175;muffins;;;;;;;;;;;;;;;;;;;
176;ham;french wine;escalope;;;;;;;;;;;;;;;;;
177;spaghetti;milk;whole wheat rice;mint green tea;;;;;;;;;;;;;;;;
178;chocolate;body spray;;;;;;;;;;;;;;;;;;
179;frozen vegetables;french fries;hot dogs;;;;;;;;;;;;;;;;;
180;candy bars;;;;;;;;;;;;;;;;;;;
181;burgers;shrimp;pasta;milk;green tea;french fries;cookies;white wine;;;;;;;;;;;;
182;parmesan cheese;ground beef;;;;;;;;;;;;;;;;;;
183;pancakes;whole wheat rice;candy bars;;;;;;;;;;;;;;;;;
184;eggs;eggplant;cookies;;;;;;;;;;;;;;;;;
185;frozen vegetables;mineral water;;;;;;;;;;;;;;;;;;
186;chocolate;;;;;;;;;;;;;;;;;;;
187;turkey;spaghetti;milk;whole wheat rice;chocolate;;;;;;;;;;;;;;;
188;whole wheat pasta;ground beef;spaghetti;soup;meatballs;chicken;blueberries;cooking oil;champagne;yogurt cake;protein bar;;;;;;;;;
189;cooking oil;tomato juice;;;;;;;;;;;;;;;;;;
190;frozen vegetables;milk;eggs;french fries;green tea;;;;;;;;;;;;;;;
191;fresh tuna;spaghetti;olive oil;french wine;eggs;french fries;champagne;pancakes;light mayo;;;;;;;;;;;
192;red wine;honey;hot dogs;;;;;;;;;;;;;;;;;
193;milk;bacon;eggs;french fries;fresh bread;;;;;;;;;;;;;;;
194;french fries;yogurt cake;;;;;;;;;;;;;;;;;;
195;milk;;;;;;;;;;;;;;;;;;;
196;french fries;;;;;;;;;;;;;;;;;;;
197;chocolate;;;;;;;;;;;;;;;;;;;
198;burgers;ham;red wine;;;;;;;;;;;;;;;;;
199;shrimp;pasta;tomatoes;energy bar;french wine;antioxydant juice;french fries;frozen smoothie;brownies;;;;;;;;;;;
200;green tea;;;;;;;;;;;;;;;;;;;
201;low fat yogurt;;;;;;;;;;;;;;;;;;;
202;turkey;spaghetti;mineral water;soup;spinach;soda;energy drink;salt;;;;;;;;;;;;
203;turkey;eggs;;;;;;;;;;;;;;;;;;
204;bug spray;hot dogs;;;;;;;;;;;;;;;;;;
205;oil;;;;;;;;;;;;;;;;;;;
206;soup;energy bar;chicken;eggs;cake;french fries;body spray;strawberries;;;;;;;;;;;;
207;spaghetti;chocolate;yogurt cake;;;;;;;;;;;;;;;;;
208;turkey;mineral water;meatballs;;;;;;;;;;;;;;;;;
209;ground beef;mineral water;chocolate;fromage blanc;bacon;hot dogs;;;;;;;;;;;;;;
210;frozen vegetables;mineral water;vegetables mix;escalope;;;;;;;;;;;;;;;;
211;herb & pepper;red wine;tomatoes;;;;;;;;;;;;;;;;;
212;whole wheat pasta;olive oil;cereals;brownies;green tea;;;;;;;;;;;;;;;
213;cookies;;;;;;;;;;;;;;;;;;;
214;olive oil;cookies;mushroom cream sauce;;;;;;;;;;;;;;;;;
215;ground beef;pancakes;cooking oil;gluten free bar;light mayo;;;;;;;;;;;;;;;
216;mineral water;french fries;;;;;;;;;;;;;;;;;;
217;herb & pepper;;;;;;;;;;;;;;;;;;;
218;salmon;;;;;;;;;;;;;;;;;;;
219;eggs;escalope;;;;;;;;;;;;;;;;;;
220;mineral water;tomato juice;;;;;;;;;;;;;;;;;;
221;mineral water;;;;;;;;;;;;;;;;;;;
222;shrimp;mineral water;soup;black tea;;;;;;;;;;;;;;;;
223;cake;frozen smoothie;;;;;;;;;;;;;;;;;;
224;turkey;burgers;grated cheese;tomatoes;chocolate;fromage blanc;honey;whole wheat rice;;;;;;;;;;;;
225;frozen vegetables;ground beef;mineral water;olive oil;pancakes;;;;;;;;;;;;;;;
226;turkey;burgers;ground beef;milk;olive oil;cake;fresh bread;;;;;;;;;;;;;
227;whole wheat pasta;ground beef;spaghetti;yams;mineral water;soup;chutney;cereals;energy drink;protein bar;;;;;;;;;;
228;eggs;whole wheat rice;cake;green tea;escalope;;;;;;;;;;;;;;;
229;ground beef;yams;soup;avocado;salmon;green tea;;;;;;;;;;;;;;
230;milk;;;;;;;;;;;;;;;;;;;
231;spaghetti;chocolate;;;;;;;;;;;;;;;;;;
232;whole wheat pasta;honey;;;;;;;;;;;;;;;;;;
233;whole wheat pasta;green tea;;;;;;;;;;;;;;;;;;
234;spaghetti;meatballs;vegetables mix;chocolate;;;;;;;;;;;;;;;;
235;eggs;low fat yogurt;;;;;;;;;;;;;;;;;;
236;fresh tuna;shrimp;pasta;mineral water;olive oil;eggs;cake;brownies;tomato juice;;;;;;;;;;;
237;mineral water;green grapes;hot dogs;fresh bread;;;;;;;;;;;;;;;;
238;frozen vegetables;meatballs;eggs;chocolate;;;;;;;;;;;;;;;;
239;chocolate;;;;;;;;;;;;;;;;;;;
240;meatballs;milk;;;;;;;;;;;;;;;;;;
241;low fat yogurt;;;;;;;;;;;;;;;;;;;
242;green tea;;;;;;;;;;;;;;;;;;;
243;escalope;pasta;;;;;;;;;;;;;;;;;;
244;pepper;chocolate;olive oil;french wine;salmon;rice;light mayo;fresh bread;magazines;;;;;;;;;;;
245;red wine;french wine;vegetables mix;rice;clothes accessories;hot dogs;green tea;;;;;;;;;;;;;
246;burgers;dessert wine;spaghetti;chicken;cake;protein bar;green tea;;;;;;;;;;;;;
247;french wine;cake;fresh bread;;;;;;;;;;;;;;;;;
248;burgers;frozen vegetables;flax seed;eggs;;;;;;;;;;;;;;;;
249;red wine;;;;;;;;;;;;;;;;;;;
250;pepper;mineral water;energy bar;green grapes;;;;;;;;;;;;;;;;
251;milk;eggs;cake;chocolate;french fries;green tea;;;;;;;;;;;;;;
252;french fries;;;;;;;;;;;;;;;;;;;
253;almonds;;;;;;;;;;;;;;;;;;;
254;burgers;mineral water;green tea;;;;;;;;;;;;;;;;;
255;milk;pancakes;;;;;;;;;;;;;;;;;;
256;pancakes;eggs;salt;tomato juice;;;;;;;;;;;;;;;;
257;mineral water;;;;;;;;;;;;;;;;;;;
258;ham;spaghetti;mineral water;olive oil;;;;;;;;;;;;;;;;
259;salt;tomato juice;fresh bread;;;;;;;;;;;;;;;;;
260;spaghetti;mushroom cream sauce;;;;;;;;;;;;;;;;;;
261;spaghetti;mineral water;eggs;pet food;;;;;;;;;;;;;;;;
262;frozen vegetables;spaghetti;;;;;;;;;;;;;;;;;;
263;energy drink;;;;;;;;;;;;;;;;;;;
264;muffins;;;;;;;;;;;;;;;;;;;
265;turkey;milk;;;;;;;;;;;;;;;;;;
266;cookies;;;;;;;;;;;;;;;;;;;
267;chocolate;;;;;;;;;;;;;;;;;;;
268;spaghetti;mineral water;eggs;cooking oil;chocolate;escalope;;;;;;;;;;;;;;
269;shrimp;frozen vegetables;pepper;spaghetti;green tea;;;;;;;;;;;;;;;
270;burgers;fresh tuna;red wine;mineral water;french fries;hand protein bar;low fat yogurt;;;;;;;;;;;;;
271;pancakes;eggs;energy drink;fresh bread;;;;;;;;;;;;;;;;
272;strong cheese;salmon;green tea;french fries;frozen smoothie;hot dogs;;;;;;;;;;;;;;
273;grated cheese;shrimp;pasta;tomatoes;milk;frozen smoothie;sandwich;;;;;;;;;;;;;
274;herb & pepper;whole wheat pasta;olive oil;pancakes;eggs;;;;;;;;;;;;;;;
275;spaghetti;antioxydant juice;;;;;;;;;;;;;;;;;;
276;chocolate;milk;almonds;eggs;strawberries;white wine;;;;;;;;;;;;;;
277;french fries;strawberries;;;;;;;;;;;;;;;;;;
278;mineral water;;;;;;;;;;;;;;;;;;;
279;eggs;;;;;;;;;;;;;;;;;;;
280;escalope;;;;;;;;;;;;;;;;;;;
281;cake;;;;;;;;;;;;;;;;;;;
282;whole wheat pasta;antioxydant juice;body spray;green tea;;;;;;;;;;;;;;;;
283;mineral water;oil;frozen smoothie;;;;;;;;;;;;;;;;;
284;french fries;champagne;;;;;;;;;;;;;;;;;;
285;chocolate;french fries;;;;;;;;;;;;;;;;;;
286;frozen vegetables;spaghetti;eggs;;;;;;;;;;;;;;;;;
287;hot dogs;;;;;;;;;;;;;;;;;;;
288;chocolate;cookies;;;;;;;;;;;;;;;;;;
289;pancakes;;;;;;;;;;;;;;;;;;;
290;shrimp;butter;chicken;salmon;;;;;;;;;;;;;;;;
291;chocolate;cookies;babies food;;;;;;;;;;;;;;;;;
292;pepper;spaghetti;cake;chocolate;french fries;fresh bread;;;;;;;;;;;;;;
293;avocado;oil;cereals;french fries;;;;;;;;;;;;;;;;
294;herb & pepper;spaghetti;mineral water;spinach;eggs;oil;cooking oil;green tea;shampoo;tomato juice;low fat yogurt;;;;;;;;;
295;herb & pepper;frozen vegetables;ground beef;pepper;spaghetti;mint green tea;french fries;;;;;;;;;;;;;
296;french fries;;;;;;;;;;;;;;;;;;;
297;green tea;tomato juice;;;;;;;;;;;;;;;;;;
298;eggs;whole wheat rice;chocolate;;;;;;;;;;;;;;;;;
299;grated cheese;herb & pepper;red wine;spaghetti;mineral water;salmon;eggs;cooking oil;green tea;;;;;;;;;;;
300;french fries;cookies;shallot;tomato juice;fresh bread;low fat yogurt;;;;;;;;;;;;;;
301;burgers;fresh tuna;spaghetti;muffins;honey;;;;;;;;;;;;;;;
302;herb & pepper;ground beef;spaghetti;eggs;chicken;;;;;;;;;;;;;;;
303;grated cheese;muffins;tomato juice;mayonnaise;;;;;;;;;;;;;;;;
304;whole wheat pasta;yams;mineral water;muffins;frozen smoothie;hot dogs;energy drink;;;;;;;;;;;;;
305;burgers;spaghetti;soup;milk;olive oil;salmon;eggs;blueberries;;;;;;;;;;;;
306;chocolate;champagne;magazines;;;;;;;;;;;;;;;;;
307;frozen vegetables;spaghetti;yams;mineral water;french wine;green grapes;rice;chocolate;;;;;;;;;;;;
308;tomato sauce;chocolate;;;;;;;;;;;;;;;;;;
309;milk;eggs;;;;;;;;;;;;;;;;;;
310;pet food;;;;;;;;;;;;;;;;;;;
311;yogurt cake;;;;;;;;;;;;;;;;;;;
312;green tea;;;;;;;;;;;;;;;;;;;
313;escalope;pasta;;;;;;;;;;;;;;;;;;
314;herb & pepper;ground beef;;;;;;;;;;;;;;;;;;
315;mineral water;honey;brownies;;;;;;;;;;;;;;;;;
316;turkey;eggs;cake;energy drink;;;;;;;;;;;;;;;;
317;turkey;burgers;dessert wine;ground beef;soup;salmon;eggs;gums;tomato juice;candy bars;;;;;;;;;;
318;spaghetti;mineral water;chicken;;;;;;;;;;;;;;;;;
319;turkey;ground beef;carrots;french fries;melons;;;;;;;;;;;;;;;
320;mineral water;eggs;low fat yogurt;;;;;;;;;;;;;;;;;
321;turkey;cooking oil;shampoo;;;;;;;;;;;;;;;;;
322;spaghetti;hot dogs;;;;;;;;;;;;;;;;;;
323;chocolate;green tea;;;;;;;;;;;;;;;;;;
324;grated cheese;pepper;mineral water;chocolate;eggs;cake;mashed potato;tomato juice;;;;;;;;;;;;
325;chocolate;;;;;;;;;;;;;;;;;;;
326;spaghetti;olive oil;strong cheese;pancakes;;;;;;;;;;;;;;;;
327;red wine;mineral water;soup;rice;cookies;;;;;;;;;;;;;;;
328;red wine;shrimp;spaghetti;;;;;;;;;;;;;;;;;
329;green tea;;;;;;;;;;;;;;;;;;;
330;mineral water;chicken;french fries;frozen smoothie;;;;;;;;;;;;;;;;
331;muffins;;;;;;;;;;;;;;;;;;;
332;cake;chocolate;;;;;;;;;;;;;;;;;;
333;fresh tuna;tomatoes;mineral water;soup;avocado;meatballs;olive oil;;;;;;;;;;;;;
334;turkey;french fries;;;;;;;;;;;;;;;;;;
335;burgers;turkey;herb & pepper;ground beef;pancakes;eggs;light cream;rice;champagne;fresh bread;;;;;;;;;;
336;escalope;;;;;;;;;;;;;;;;;;;
337;chocolate;escalope;fresh bread;;;;;;;;;;;;;;;;;
338;ham;spaghetti;french wine;vegetables mix;chocolate;french fries;;;;;;;;;;;;;;
339;avocado;light mayo;;;;;;;;;;;;;;;;;;
340;spaghetti;yams;butter;chocolate;;;;;;;;;;;;;;;;
341;energy bar;eggs;french fries;;;;;;;;;;;;;;;;;
342;fresh tuna;barbecue sauce;eggplant;;;;;;;;;;;;;;;;;
343;energy drink;;;;;;;;;;;;;;;;;;;
344;whole wheat rice;french fries;hot dogs;green tea;;;;;;;;;;;;;;;;
345;mineral water;chicken;green tea;;;;;;;;;;;;;;;;;
346;eggs;cake;mushroom cream sauce;;;;;;;;;;;;;;;;;
347;escalope;;;;;;;;;;;;;;;;;;;
348;antioxydant juice;escalope;;;;;;;;;;;;;;;;;;
349;shrimp;spaghetti;french fries;;;;;;;;;;;;;;;;;
350;grated cheese;spaghetti;salmon;tomato juice;;;;;;;;;;;;;;;;
351;spaghetti;green tea;;;;;;;;;;;;;;;;;;
352;champagne;protein bar;;;;;;;;;;;;;;;;;;
353;mineral water;avocado;chocolate;;;;;;;;;;;;;;;;;
354;tomatoes;champagne;green tea;;;;;;;;;;;;;;;;;
355;chicken;french fries;escalope;;;;;;;;;;;;;;;;;
356;frozen vegetables;tomatoes;eggs;green tea;frozen smoothie;light mayo;;;;;;;;;;;;;;
357;ground beef;chicken;cider;green grapes;honey;chocolate;french fries;champagne;frozen smoothie;escalope;;;;;;;;;;
358;french fries;champagne;;;;;;;;;;;;;;;;;;
359;mineral water;soup;;;;;;;;;;;;;;;;;;
360;frozen vegetables;spaghetti;milk;chocolate;babies food;;;;;;;;;;;;;;;
361;honey;whole wheat rice;;;;;;;;;;;;;;;;;;
362;whole wheat rice;chicken;tomato juice;;;;;;;;;;;;;;;;;
363;pancakes;;;;;;;;;;;;;;;;;;;
364;green tea;protein bar;tomato juice;candy bars;;;;;;;;;;;;;;;;
365;french fries;;;;;;;;;;;;;;;;;;;
366;mineral water;;;;;;;;;;;;;;;;;;;
367;escalope;;;;;;;;;;;;;;;;;;;
368;grated cheese;herb & pepper;whole wheat pasta;yams;mineral water;bacon;nonfat milk;spinach;;;;;;;;;;;;
369;spaghetti;milk;;;;;;;;;;;;;;;;;;
370;milk;chocolate;white wine;;;;;;;;;;;;;;;;;
371;sandwich;;;;;;;;;;;;;;;;;;;
372;chocolate;light mayo;;;;;;;;;;;;;;;;;;
373;shrimp;whole wheat pasta;spaghetti;meatballs;chicken;frozen smoothie;tomato juice;;;;;;;;;;;;;
374;red wine;ground beef;spaghetti;mineral water;eggs;;;;;;;;;;;;;;;
375;yams;melons;;;;;;;;;;;;;;;;;;
376;spaghetti;cooking oil;;;;;;;;;;;;;;;;;;
377;french fries;;;;;;;;;;;;;;;;;;;
378;mineral water;milk;spinach;cooking oil;chocolate;frozen smoothie;hot dogs;;;;;;;;;;;;;
