cod_cliente;qtd_comprada;ativo;data_compra
318;17;FLRY3.SA;2022-06-27
4380;56;PETR4.SA;2022-05-04
1763;38;IRDM11.SA;2022-10-26
4195;12;ITUB4.SA;2022-12-29
1593;50;MGLU3.SA;2022-12-18
1024;75;VINO11.SA;2022-05-26
3406;92;VINO11.SA;2022-02-22
2744;6;HGLG11.SA;2022-05-02
2582;11;HGBS11.SA;2022-08-13
2166;59;IRDM11.SA;2022-09-24
1213;68;HGBS11.SA;2022-03-29
2240;20;RBVA11.SA;2022-03-19
1845;92;RBVA11.SA;2022-12-22
3179;23;FLRY3.SA;2022-04-16
4649;92;PETR4.SA;2022-03-17
2162;5;HGLG11.SA;2022-01-27
2933;89;VINO11.SA;2022-06-19
2380;84;PETR4.SA;2022-09-09
3062;14;MGLU3.SA;2022-02-26
3100;31;ITUB4.SA;2022-08-01
4337;36;VALE3.SA;2022-03-06
3514;51;PETR4.SA;2022-02-01
928;54;BBDC4.SA;2022-10-22
4235;81;HGBS11.SA;2022-05-20
3321;17;HGBS11.SA;2022-07-18
4730;29;IRDM11.SA;2022-05-20
3441;57;ITUB4.SA;2022-03-19
1133;88;HGLG11.SA;2022-05-05
1693;68;VALE3.SA;2022-02-26
1301;69;HGBS11.SA;2022-07-05
4618;34;BBDC4.SA;2022-08-09
4704;41;HGLG11.SA;2022-02-23
2246;15;IRDM11.SA;2022-09-15
2969;66;B3SA3.SA;2022-12-19
3343;99;RBVA11.SA;2022-07-31
665;66;ITUB4.SA;2022-09-24
4454;98;MGLU3.SA;2022-09-08
4356;71;FLRY3.SA;2022-03-05
1082;97;BBDC4.SA;2022-07-12
569;64;FLRY3.SA;2022-06-17
405;8;FLRY3.SA;2022-08-04
509;40;HGBS11.SA;2022-04-29
3437;91;FLRY3.SA;2022-11-02
4715;49;HGLG11.SA;2022-06-28
4603;11;VALE3.SA;2022-05-18
4757;75;B3SA3.SA;2022-04-09
3019;93;VINO11.SA;2022-03-20
2976;17;ITUB4.SA;2022-06-16
4815;27;VALE3.SA;2022-12-03
960;24;VALE3.SA;2022-01-12
11;88;BBDC4.SA;2022-09-14
4111;32;MGLU3.SA;2022-05-19
4319;15;BBDC4.SA;2022-07-11
1472;87;MGLU3.SA;2022-09-01
4515;32;BBDC4.SA;2022-04-18
2002;68;VALE3.SA;2022-06-04
2962;26;BBDC4.SA;2022-11-13
1315;100;FLRY3.SA;2022-04-10
2100;72;IRDM11.SA;2022-07-14
3482;29;ITUB4.SA;2022-09-04
4570;18;HGBS11.SA;2022-02-12
3881;12;HGLG11.SA;2022-01-31
4098;99;VINO11.SA;2022-11-27
3083;20;RBVA11.SA;2022-02-27
4785;70;HGBS11.SA;2022-11-29
4353;96;VINO11.SA;2022-12-28
1888;16;BBDC4.SA;2022-06-09
3703;14;HGLG11.SA;2022-10-28
3704;80;PETR4.SA;2022-11-27
2650;97;B3SA3.SA;2022-08-30
3635;52;FLRY3.SA;2022-06-26
1420;78;BBDC4.SA;2022-12-09
4913;21;RBVA11.SA;2022-02-03
1814;80;HGBS11.SA;2022-06-30
3554;87;HGBS11.SA;2022-05-02
752;30;B3SA3.SA;2022-02-23
4512;83;MGLU3.SA;2022-08-07
764;81;IRDM11.SA;2022-12-15
3674;13;PETR4.SA;2022-03-18
3892;95;VALE3.SA;2022-02-16
3043;43;VALE3.SA;2022-11-04
3440;32;HGBS11.SA;2022-02-23
2294;19;BBDC4.SA;2022-03-19
2303;43;RBVA11.SA;2022-02-25
1703;22;MGLU3.SA;2022-02-26
3123;100;B3SA3.SA;2022-07-03
4440;20;B3SA3.SA;2022-08-02
2566;56;B3SA3.SA;2022-12-08
2613;21;ITUB4.SA;2022-05-14
646;19;IRDM11.SA;2022-04-14
3195;61;FLRY3.SA;2022-03-06
1791;66;HGLG11.SA;2022-11-11
2740;86;ITUB4.SA;2022-04-06
3351;58;ITUB4.SA;2022-05-03
3142;80;PETR4.SA;2022-10-01
4820;4;VINO11.SA;2022-07-29
1709;75;HGLG11.SA;2022-05-09
1632;71;RBVA11.SA;2022-03-26
321;32;BBDC4.SA;2022-09-11
774;82;MGLU3.SA;2022-03-11
1463;3;FLRY3.SA;2022-12-12
4669;34;BBDC4.SA;2022-10-05
4794;85;FLRY3.SA;2022-09-20
2604;64;FLRY3.SA;2022-06-23
514;52;MGLU3.SA;2022-04-11
2744;32;RBVA11.SA;2022-01-29
2015;14;IRDM11.SA;2022-06-05
1494;80;VINO11.SA;2022-08-31
2576;8;VINO11.SA;2022-12-09
2115;42;VALE3.SA;2022-02-06
4732;72;VINO11.SA;2022-01-10
1390;98;VINO11.SA;2022-03-30
4069;33;VALE3.SA;2022-04-03
14;45;VINO11.SA;2022-02-10
207;88;BBDC4.SA;2022-06-12
3156;8;HGBS11.SA;2022-11-24
179;27;BBDC4.SA;2022-08-07
545;16;HGLG11.SA;2022-05-12
3049;4;MGLU3.SA;2022-08-25
4652;33;HGBS11.SA;2022-02-05
3375;84;HGBS11.SA;2022-01-11
595;53;PETR4.SA;2022-02-09
4317;61;HGBS11.SA;2022-04-04
4913;13;ITUB4.SA;2022-02-23
1846;76;BBDC4.SA;2022-03-26
750;69;VINO11.SA;2022-05-28
3884;18;ITUB4.SA;2022-03-16
2159;70;RBVA11.SA;2022-01-05
1815;22;ITUB4.SA;2022-01-27
2175;49;RBVA11.SA;2022-10-29
4125;39;ITUB4.SA;2022-12-06
923;6;BBDC4.SA;2022-10-14
3978;44;VALE3.SA;2022-05-09
4370;14;B3SA3.SA;2022-09-23
520;33;HGLG11.SA;2022-01-10
318;29;B3SA3.SA;2022-07-22
4482;19;HGBS11.SA;2022-04-13
85;68;ITUB4.SA;2022-02-08
4673;53;ITUB4.SA;2022-02-20
3363;30;HGLG11.SA;2022-10-04
4568;54;FLRY3.SA;2022-10-21
2333;47;B3SA3.SA;2022-05-30
3656;100;VALE3.SA;2022-06-28
2321;96;B3SA3.SA;2022-12-31
421;52;B3SA3.SA;2022-04-22
4552;44;BBDC4.SA;2022-05-15
4566;14;BBDC4.SA;2022-08-16
380;38;BBDC4.SA;2022-02-23
3384;41;BBDC4.SA;2022-03-15
3857;72;PETR4.SA;2022-02-08
1643;83;RBVA11.SA;2022-03-16
292;93;BBDC4.SA;2022-08-27
1443;80;BBDC4.SA;2022-09-06
1976;35;PETR4.SA;2022-01-09
2824;29;VINO11.SA;2022-09-26
1212;25;ITUB4.SA;2022-01-30
4955;88;B3SA3.SA;2022-02-11
39;13;HGBS11.SA;2022-05-07
3005;93;MGLU3.SA;2022-11-02
4005;82;PETR4.SA;2022-07-15
4633;47;VALE3.SA;2022-09-07
3002;79;BBDC4.SA;2022-09-21
4396;36;BBDC4.SA;2022-02-06
2476;67;B3SA3.SA;2022-10-29
2925;96;RBVA11.SA;2022-01-15
919;54;RBVA11.SA;2022-07-28
690;83;MGLU3.SA;2022-04-09
1109;31;BBDC4.SA;2022-05-26
3515;28;VALE3.SA;2022-03-11
3937;31;MGLU3.SA;2022-04-07
503;52;MGLU3.SA;2022-01-19
4859;95;HGLG11.SA;2022-06-01
2302;40;ITUB4.SA;2022-02-16
1796;63;VALE3.SA;2022-08-30
951;43;ITUB4.SA;2022-02-21
4545;91;VALE3.SA;2022-05-09
2243;70;IRDM11.SA;2022-05-27
2195;74;VALE3.SA;2022-04-17
2374;55;B3SA3.SA;2022-12-21
4697;45;HGBS11.SA;2022-10-16
3176;93;IRDM11.SA;2022-05-05
1342;65;VINO11.SA;2022-05-16
888;25;RBVA11.SA;2022-08-18
2139;25;RBVA11.SA;2022-12-30
32;84;VINO11.SA;2022-09-02
938;22;MGLU3.SA;2022-10-07
1026;70;ITUB4.SA;2022-03-17
3421;23;MGLU3.SA;2022-09-09
381;82;RBVA11.SA;2022-01-11
4870;1;IRDM11.SA;2022-08-27
3920;94;B3SA3.SA;2022-02-03
186;100;FLRY3.SA;2022-02-14
2138;13;VINO11.SA;2022-04-16
3695;14;HGBS11.SA;2022-04-29
2879;30;HGBS11.SA;2022-10-30
189;70;B3SA3.SA;2022-05-29
1096;61;FLRY3.SA;2022-06-28
3622;35;RBVA11.SA;2022-06-29
4826;83;B3SA3.SA;2022-09-20
1980;54;RBVA11.SA;2022-03-14
4385;53;BBDC4.SA;2022-08-19
1404;46;MGLU3.SA;2022-04-04
4992;14;HGLG11.SA;2022-07-01
810;93;BBDC4.SA;2022-08-04
3269;13;IRDM11.SA;2022-12-02
1163;65;RBVA11.SA;2022-12-28
1004;47;IRDM11.SA;2022-11-07
3509;84;FLRY3.SA;2022-12-12
3316;58;MGLU3.SA;2022-07-06
1684;48;IRDM11.SA;2022-02-11
1348;34;RBVA11.SA;2022-04-05
2621;48;RBVA11.SA;2022-08-20
60;1;MGLU3.SA;2022-05-15
3937;48;VINO11.SA;2022-04-02
760;55;HGBS11.SA;2022-05-27
1287;42;HGLG11.SA;2022-07-22
85;8;FLRY3.SA;2022-09-02
59;21;B3SA3.SA;2022-02-05
4900;18;MGLU3.SA;2022-06-15
4034;62;MGLU3.SA;2022-06-29
88;99;FLRY3.SA;2022-03-18
1995;3;RBVA11.SA;2022-02-02
1030;22;BBDC4.SA;2022-05-11
3957;67;VINO11.SA;2022-01-09
363;26;HGBS11.SA;2022-09-19
3007;80;B3SA3.SA;2022-12-20
1567;41;RBVA11.SA;2022-05-08
3243;41;BBDC4.SA;2022-08-28
4307;66;HGBS11.SA;2022-04-22
4241;7;PETR4.SA;2022-03-19
2680;20;RBVA11.SA;2022-01-07
4426;3;HGBS11.SA;2022-06-01
1791;77;ITUB4.SA;2022-03-06
552;50;FLRY3.SA;2022-04-30
1603;69;RBVA11.SA;2022-06-28
2084;27;FLRY3.SA;2022-07-26
548;12;ITUB4.SA;2022-12-14
1265;67;FLRY3.SA;2022-01-15
374;37;BBDC4.SA;2022-02-07
2822;63;MGLU3.SA;2022-11-28
2356;45;VALE3.SA;2022-03-28
3969;6;PETR4.SA;2022-05-06
2859;69;IRDM11.SA;2022-10-29
3422;52;B3SA3.SA;2022-12-17
4070;37;VINO11.SA;2022-10-02
4599;78;ITUB4.SA;2022-09-20
4540;31;B3SA3.SA;2022-06-05
3349;73;VINO11.SA;2022-10-28
507;27;IRDM11.SA;2022-10-28
4177;40;VINO11.SA;2022-03-05
2852;21;FLRY3.SA;2022-07-15
4545;5;IRDM11.SA;2022-12-13
3780;87;BBDC4.SA;2022-12-03
4666;97;BBDC4.SA;2022-06-27
3150;14;ITUB4.SA;2022-03-29
3128;93;IRDM11.SA;2022-11-13
366;45;B3SA3.SA;2022-01-23
3786;29;MGLU3.SA;2022-07-02
1028;59;IRDM11.SA;2022-02-27
521;43;VINO11.SA;2022-09-27
2154;24;MGLU3.SA;2022-09-04
3287;100;IRDM11.SA;2022-10-20
1214;54;B3SA3.SA;2022-06-02
4553;24;IRDM11.SA;2022-08-04
3085;76;MGLU3.SA;2022-12-02
3605;13;PETR4.SA;2022-08-30
4118;47;PETR4.SA;2022-08-13
1763;2;VALE3.SA;2022-03-16
1626;28;HGLG11.SA;2022-04-06
3898;47;HGBS11.SA;2022-09-04
1001;26;HGBS11.SA;2022-01-22
715;14;RBVA11.SA;2022-11-08
2012;35;HGLG11.SA;2022-03-25
2156;29;HGLG11.SA;2022-09-05
2520;64;HGBS11.SA;2022-07-30
464;4;BBDC4.SA;2022-05-19
1433;61;VINO11.SA;2022-06-01
1483;53;ITUB4.SA;2022-03-19
3934;88;PETR4.SA;2022-06-24
4125;91;PETR4.SA;2022-11-16
2640;69;MGLU3.SA;2022-06-30
3253;83;VALE3.SA;2022-07-21
3531;27;ITUB4.SA;2022-05-25
3177;14;HGLG11.SA;2022-07-21
4508;59;IRDM11.SA;2022-06-02
817;45;ITUB4.SA;2022-07-25
4520;41;PETR4.SA;2022-11-26
798;1;PETR4.SA;2022-01-29
3292;7;IRDM11.SA;2022-08-17
4182;13;VALE3.SA;2022-08-29
3797;7;PETR4.SA;2022-08-13
1472;83;PETR4.SA;2022-06-11
2740;99;PETR4.SA;2022-01-25
1461;18;HGBS11.SA;2022-07-14
2407;70;ITUB4.SA;2022-09-24
1024;48;HGLG11.SA;2022-04-22
618;5;HGBS11.SA;2022-02-09
3436;45;B3SA3.SA;2022-07-05
2992;95;ITUB4.SA;2022-01-20
1902;45;HGBS11.SA;2022-03-17
754;85;ITUB4.SA;2022-01-30
1749;45;VINO11.SA;2022-02-17
771;85;B3SA3.SA;2022-11-23
1211;27;HGLG11.SA;2022-06-19
2236;74;FLRY3.SA;2022-11-05
240;17;ITUB4.SA;2022-08-25
918;65;VALE3.SA;2022-03-26
3122;78;PETR4.SA;2022-10-15
4984;54;MGLU3.SA;2022-03-22
485;38;PETR4.SA;2022-10-13
4552;46;RBVA11.SA;2022-03-22
1819;1;VINO11.SA;2022-03-29
681;64;BBDC4.SA;2022-07-27
4795;59;B3SA3.SA;2022-11-21
2928;86;VALE3.SA;2022-05-15
2358;53;VINO11.SA;2022-11-14
4950;47;FLRY3.SA;2022-09-03
4940;93;HGBS11.SA;2022-04-15
1758;89;RBVA11.SA;2022-09-20
4504;9;IRDM11.SA;2022-01-03
3716;6;IRDM11.SA;2022-12-24
2549;78;FLRY3.SA;2022-03-06
1148;15;RBVA11.SA;2022-02-10
4768;67;FLRY3.SA;2022-08-26
4038;12;HGLG11.SA;2022-12-02
4748;8;ITUB4.SA;2022-07-14
1171;12;IRDM11.SA;2022-04-13
1787;70;RBVA11.SA;2022-05-25
3223;5;MGLU3.SA;2022-03-17
1223;34;ITUB4.SA;2022-02-06
1748;7;IRDM11.SA;2022-07-08
1896;50;B3SA3.SA;2022-09-15
3261;81;PETR4.SA;2022-11-05
1315;34;MGLU3.SA;2022-05-16
4282;100;VALE3.SA;2022-03-22
3363;97;IRDM11.SA;2022-02-13
3141;37;RBVA11.SA;2022-05-17
3679;25;RBVA11.SA;2022-11-16
4156;32;PETR4.SA;2022-01-13
3438;96;MGLU3.SA;2022-03-24
2754;81;MGLU3.SA;2022-04-04
569;73;VALE3.SA;2022-11-03
2293;26;RBVA11.SA;2022-08-14
68;18;VALE3.SA;2022-01-05
441;43;VINO11.SA;2022-03-19
1237;5;ITUB4.SA;2022-08-06
4261;27;ITUB4.SA;2022-09-13
1038;8;VALE3.SA;2022-08-30
941;73;MGLU3.SA;2022-12-06
1289;98;VINO11.SA;2022-03-10
3203;1;IRDM11.SA;2022-04-27
2022;11;VINO11.SA;2022-05-02
2171;19;VALE3.SA;2022-06-16
1039;24;HGLG11.SA;2022-10-14
657;36;VINO11.SA;2022-08-20
4394;28;PETR4.SA;2022-12-16
3167;24;VALE3.SA;2022-05-28
796;86;ITUB4.SA;2022-08-25
4842;19;VINO11.SA;2022-10-28
3131;8;BBDC4.SA;2022-07-16
1951;31;HGBS11.SA;2022-09-05
1598;4;BBDC4.SA;2022-06-29
4485;29;VALE3.SA;2022-10-18
1962;33;HGLG11.SA;2022-01-25
280;9;PETR4.SA;2022-02-09
1794;88;RBVA11.SA;2022-10-15
3810;46;HGLG11.SA;2022-08-27
1482;39;IRDM11.SA;2022-05-10
2556;30;MGLU3.SA;2022-06-23
2654;63;BBDC4.SA;2022-01-30
4013;89;HGLG11.SA;2022-07-08
4080;29;FLRY3.SA;2022-04-05
2182;74;BBDC4.SA;2022-01-27
2028;13;HGBS11.SA;2022-03-09
4885;25;HGLG11.SA;2022-06-12
1652;63;RBVA11.SA;2022-07-04
867;69;BBDC4.SA;2022-07-27
261;26;RBVA11.SA;2022-02-10
1997;97;HGLG11.SA;2022-03-26
458;19;PETR4.SA;2022-05-12
2515;84;PETR4.SA;2022-01-25
1985;32;FLRY3.SA;2022-12-27
2315;71;IRDM11.SA;2022-03-20
1015;78;BBDC4.SA;2022-01-09
1035;64;HGLG11.SA;2022-06-22
1793;87;MGLU3.SA;2022-10-12
4931;45;ITUB4.SA;2022-10-08
1017;69;MGLU3.SA;2022-05-10
4198;46;B3SA3.SA;2022-09-20
4966;62;FLRY3.SA;2022-04-16
2557;61;FLRY3.SA;2022-10-13
3451;7;VALE3.SA;2022-05-16
1536;20;ITUB4.SA;2022-07-07
4004;30;BBDC4.SA;2022-09-13
2362;10;VINO11.SA;2022-02-27
894;2;B3SA3.SA;2022-12-31
4699;66;HGLG11.SA;2022-08-07
4442;47;ITUB4.SA;2022-04-09
4025;42;HGLG11.SA;2022-03-29
3538;48;B3SA3.SA;2022-12-23
90;77;VINO11.SA;2022-01-10
2729;45;ITUB4.SA;2022-11-15
737;37;RBVA11.SA;2022-02-20
4863;1;MGLU3.SA;2022-08-05
2714;63;IRDM11.SA;2022-01-16
4918;48;FLRY3.SA;2022-01-26
1384;60;RBVA11.SA;2022-07-01
655;70;PETR4.SA;2022-09-21
3476;75;HGBS11.SA;2022-10-12
2787;64;VINO11.SA;2022-11-15
4505;33;HGLG11.SA;2022-07-22
2820;83;PETR4.SA;2022-06-09
2063;88;IRDM11.SA;2022-01-12
1101;45;IRDM11.SA;2022-04-27
1488;29;MGLU3.SA;2022-11-17
3334;51;ITUB4.SA;2022-05-10
1177;35;B3SA3.SA;2022-07-09
1517;62;RBVA11.SA;2022-03-10
4667;51;FLRY3.SA;2022-07-25
4931;45;MGLU3.SA;2022-10-12
1252;32;RBVA11.SA;2022-09-29
2613;70;MGLU3.SA;2022-11-13
3998;81;HGLG11.SA;2022-06-07
158;33;MGLU3.SA;2022-08-14
2169;97;BBDC4.SA;2022-09-30
4690;57;BBDC4.SA;2022-12-23
4147;26;RBVA11.SA;2022-03-07
28;85;MGLU3.SA;2022-02-03
4683;89;VINO11.SA;2022-10-26
2283;61;HGBS11.SA;2022-10-05
848;61;VALE3.SA;2022-04-21
2683;18;B3SA3.SA;2022-04-20
4029;40;BBDC4.SA;2022-01-13
1823;82;VINO11.SA;2022-09-17
1319;87;FLRY3.SA;2022-01-25
1167;77;VINO11.SA;2022-04-02
4953;85;ITUB4.SA;2022-09-18
1869;32;ITUB4.SA;2022-12-03
3917;62;PETR4.SA;2022-10-06
1589;84;ITUB4.SA;2022-10-17
1161;76;BBDC4.SA;2022-03-17
2158;2;MGLU3.SA;2022-09-28
1099;67;VALE3.SA;2022-08-15
1731;85;PETR4.SA;2022-05-07
2000;65;VALE3.SA;2022-10-05
1671;76;MGLU3.SA;2022-07-08
1892;56;B3SA3.SA;2022-07-21
3540;31;RBVA11.SA;2022-03-06
3512;33;RBVA11.SA;2022-05-27
4366;26;MGLU3.SA;2022-01-07
1959;33;ITUB4.SA;2022-11-23
2631;51;FLRY3.SA;2022-10-02
856;91;FLRY3.SA;2022-10-28
949;23;VINO11.SA;2022-02-16
2913;90;HGLG11.SA;2022-09-01
397;3;RBVA11.SA;2022-12-05
142;51;HGLG11.SA;2022-12-18
2314;95;VALE3.SA;2022-09-19
935;77;MGLU3.SA;2022-02-03
4681;26;RBVA11.SA;2022-03-31
3188;90;HGBS11.SA;2022-12-19
1528;80;BBDC4.SA;2022-07-09
4878;36;BBDC4.SA;2022-06-09
3131;35;PETR4.SA;2022-05-29
1033;75;FLRY3.SA;2022-08-25
1932;66;BBDC4.SA;2022-11-17
4334;50;B3SA3.SA;2022-08-11
408;31;VINO11.SA;2022-01-31
1280;2;VINO11.SA;2022-11-09
490;18;B3SA3.SA;2022-07-21
2543;18;BBDC4.SA;2022-03-14
2845;100;VINO11.SA;2022-11-07
407;29;VALE3.SA;2022-01-27
1661;17;FLRY3.SA;2022-12-29
4590;90;ITUB4.SA;2022-01-22
4906;35;BBDC4.SA;2022-11-07
39;94;VALE3.SA;2022-02-18
4277;33;FLRY3.SA;2022-04-30
1457;24;MGLU3.SA;2022-12-06
4713;52;MGLU3.SA;2022-11-26
147;57;ITUB4.SA;2022-04-09
3985;21;VALE3.SA;2022-10-21
2920;63;MGLU3.SA;2022-01-27
2570;49;MGLU3.SA;2022-08-25
3176;93;RBVA11.SA;2022-02-18
83;43;VALE3.SA;2022-01-07
4121;93;IRDM11.SA;2022-03-02
3048;69;IRDM11.SA;2022-02-22
319;97;BBDC4.SA;2022-10-23
4157;7;FLRY3.SA;2022-09-25
1815;11;FLRY3.SA;2022-08-08
411;22;HGBS11.SA;2022-12-12
4318;3;RBVA11.SA;2022-06-22
2555;60;HGBS11.SA;2022-05-22
4696;60;ITUB4.SA;2022-01-27
3059;13;IRDM11.SA;2022-11-27
2318;62;HGLG11.SA;2022-01-19
4427;33;IRDM11.SA;2022-02-07
1537;16;VINO11.SA;2022-03-20
584;88;BBDC4.SA;2022-11-23
218;96;VINO11.SA;2022-06-12
1370;100;HGBS11.SA;2022-09-23
3590;70;BBDC4.SA;2022-06-09
2481;33;RBVA11.SA;2022-02-06
3384;39;BBDC4.SA;2022-02-01
3638;76;VINO11.SA;2022-08-14
2526;38;VINO11.SA;2022-08-01
2298;60;HGBS11.SA;2022-04-18
3660;93;FLRY3.SA;2022-11-18
3446;48;FLRY3.SA;2022-02-09
2891;14;RBVA11.SA;2022-06-23
1920;78;BBDC4.SA;2022-10-31
3306;62;HGLG11.SA;2022-09-08
2632;49;BBDC4.SA;2022-08-09
1469;38;PETR4.SA;2022-10-15
2180;91;RBVA11.SA;2022-07-23
1321;59;VINO11.SA;2022-01-19
1540;88;VALE3.SA;2022-03-11
196;35;FLRY3.SA;2022-03-24
4081;3;VALE3.SA;2022-05-31
1362;92;IRDM11.SA;2022-07-22
2309;67;HGBS11.SA;2022-10-27
109;26;IRDM11.SA;2022-01-14
2685;68;VINO11.SA;2022-10-25
3988;95;IRDM11.SA;2022-07-09
791;27;MGLU3.SA;2022-04-18
2440;10;HGLG11.SA;2022-11-18
2375;31;PETR4.SA;2022-11-10
970;64;HGLG11.SA;2022-02-15
4152;79;B3SA3.SA;2022-12-27
3483;96;PETR4.SA;2022-07-15
545;92;B3SA3.SA;2022-11-30
1278;39;FLRY3.SA;2022-08-05
4283;16;FLRY3.SA;2022-08-11
4662;94;B3SA3.SA;2022-02-25
4614;68;B3SA3.SA;2022-01-14
4009;96;HGLG11.SA;2022-06-26
3451;35;B3SA3.SA;2022-01-24
798;79;BBDC4.SA;2022-03-20
2670;33;PETR4.SA;2022-06-07
3527;12;VINO11.SA;2022-05-24
577;3;VALE3.SA;2022-07-10
731;82;IRDM11.SA;2022-05-01
1048;1;IRDM11.SA;2022-04-27
2190;32;VALE3.SA;2022-05-13
1322;40;PETR4.SA;2022-12-18
349;96;VALE3.SA;2022-12-27
1847;8;ITUB4.SA;2022-09-01
3242;28;MGLU3.SA;2022-08-16
776;80;HGBS11.SA;2022-08-16
2374;61;VALE3.SA;2022-12-13
1835;13;FLRY3.SA;2022-08-10
1356;22;HGBS11.SA;2022-06-28
223;26;FLRY3.SA;2022-11-03
4313;72;BBDC4.SA;2022-02-15
4804;37;PETR4.SA;2022-05-28
3473;90;VALE3.SA;2022-08-27
